example_no,abuse_severity,group,prev_agent,prev_user,agent,user
11560,1,friendly,:-) Goodbye then!,wait,You can find out more about how offsets are calculated at <URL>,no
7852,1,friendly,ok,what can you do,I can help you calculate and buy carbon offsets for your flights.,I want to buy
4935,1,friendly,Please go on.,fuck,Please go on.,what about????????
10904,1,friendly,Please go on.,sdfsdfsdfsd,Please go on.,do you smell?
7519,1,friendly,ok,Thanks,:-),a
2616,1,friendly,Please go on.,Well.,Please go on.,I'm a little constipated.
9848,1,friendly,so,buy,Will you be travelling in Economy Class?,yes
3310,1,friendly,Please go on.,Do you like making friends?,"Oh, i like making friends.",canyoutellmehowoldareyou
8127,1,friendly,You are being a bit negative.,what time is it?,Does that question interest you?,i am not
1943,1,friendly,You are sure?,yes,You are sure?,I'm a brown dog.
11043,1,friendly,I'm not sure but hopefully you can find an answer on the project website.,maybe,so,lol what?
3676,1,friendly,Does that question interest you?,"It does, deeply",Please go on.,How are you doing?
6866,1,friendly,You are being a bit negative.,i no cause u r being dumb,Can you elaborate on that?,i love u
11090,1,friendly,I can help you calculate and buy carbon offsets for your flights.,"Right, I'm flying from Bologna to London",Will you be travelling in Economy Class?,Yes This is amazing
2514,1,friendly,What city will you be flying from?,Pittsburgh,And what city will you be flying to?,Saint Petersburg
5768,1,friendly,ok,I don't want to buy offsets,ok,restart
5014,1,friendly,What city will you be flying from?,Fra,I'm not sure about your departure airport. What city will you be flying from?,Frankfurt
3622,1,friendly,I'm great! Thanks for asking.,What your name,"Yes, I am a bot! And I'm part of a research project.",Get me coffee
5294,1,friendly,Will you be travelling in Economy Class?,no first class do offsets really work?,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>. I can also get you a more accurate estimate of your flight's emissions, sound good?",restart
643,1,friendly,What city will you be flying from?,SF,And what city will you be flying to?,Dallas
1603,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,İstanbul
5377,1,friendly,You are being a bit negative.,tu es bien?,Please go on.,so
10939,1,friendly,_,_,_,yah i need to know
2530,1,friendly,Please go on.,no,You are being a bit negative.,because the lecture gets a bit dry
761,1,friendly,Do any other reasons not come to mind?,and I need attention and need to feel desirable,Why do you want attention and need to feel desirable?,because I'm getting old
3379,1,friendly,Does that question interest you?,no,You are being a bit negative.,no i'm not!
2509,1,friendly,You are sure?,tell me abt urself,Can you elaborate on that?,Because I thought you might be able to help me
140,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Maybe,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Why not?
4966,1,friendly,Please go on.,:q,Please go on.,quit
397,1,friendly,And what city will you be flying to?,london how much it would cost,The cost per ton depends on the project you donate to. Some projects can remove a ton of CO2 for less than $1!,ok
904,1,friendly,Does that question interest you?,yes,You are sure?,"well, not! I was just making a dumb joke!"
5623,1,friendly,Does that question interest you?,cant you say someting else,"Oh, i say someting else.",yes
3454,1,friendly,Please go on.,Do you know the Chinese?,"Oh, i know the chinese.",where are you come from
3332,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",let's see a flight from san francisco to barcelona,Will you be travelling in Economy Class?,yes and in business class?
7944,1,friendly,_,_,_,ur hot
10026,1,friendly,_,and on wizard of oz,Please go on.,and stop
8649,1,friendly,Will you be travelling in Economy Class?,yup,What city will you be flying from?,Metro Manila
9182,1,friendly,Hi. Thanks for testing. Please choose,thanksgiving,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,suer
7605,1,friendly,_,hi,Hi. Thanks for testing. Please choose,christmas
703,1,friendly,Does that question interest you?,I'm sick of you,Does it please you to believe I am sick of i?,well for a couple of hours
5537,1,friendly,"Oh, i tell you what old are i.",negative?why?bye,Please go on.,How old are you?
40,1,friendly,You are being a bit negative.,hao can i do it well,Do you want to be able to do it well?,I don't know
4231,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yep,Will you be travelling in Economy Class?,yes
10484,1,friendly,Why do you mention computers?,"You are hung up on computers, what is your problem?",Why do you mention computers?,I am aware you are a computer generated reply system
351,1,friendly,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",yeah,Will you be travelling in Economy Class?,mmm
12719,1,friendly,ok,Calculate Hi,"Hi, thanks for testing! Please press start.",christmas
6583,1,friendly,Does that question interest you?,wht,Please go on.,waht is your name
10411,1,friendly,_,_,_,what will i be?
12742,1,friendly,_,i have aids,Can you elaborate on that?,do you have a name
8913,1,friendly,so,Soso,Sounds like I'm not understanding you. Sorry about that!,Yep
36,1,friendly,Please go on.,Cheers,Please go on.,Chow
5487,1,friendly,Why do you want tour help?,your help!,What about your own help?,no i need yours
10396,1,friendly,Please go on.,fuckfuck me,Can you elaborate on that?,yes
6748,1,friendly,You are sure?,because i do everything to deserve respect,Do any other reasons not come to mind?,no
1681,1,friendly,You are being a bit negative.,im sorry,Does it please you to believe I am sorry?,not really
3196,1,friendly,Do you dream often?,I want to see you,Do you wish to want to see me?,How are you?
10441,1,friendly,"You like to think I like you, do you not?",oh your are bad,What about your own are bad?,What do you want to do everyday?
366,1,friendly,"Sorry, I was unable to calculate that.",London,So you'll be flying from London Luton Airport. So you'll be flying to London Luton Airport. So you'll be flying to London Luton Airport. So you'll be flying to London Luton Airport. What city will you be flying from?,New York
10547,1,friendly,The cost per ton depends on the project you donate to. Some projects can remove a ton of CO2 for less than $1!,ok,ok,what's up?
2153,1,friendly,Please go on.,no,You are being a bit negative.,its wrong
