round_index,band,snippet_id,prev_agent,prev_user,agent,user
0,1,1d723460fe298541,Can you elaborate on that?,pizza makes me sick,Can you elaborate on that?,"The first, what's your name?"
0,0,2f1ab91c4274f383,_,_,_,dialogue
0,-1,b2db0add13e54054,You are sure?,what his name,"I have told you before, I do not care about names.",you are very boring
0,-2,1f6bf4409570a8cb,Why do you say your penis is too small?,its only 6 inches,Please go on.,you suck
0,-3,219bc98738be287a,Can you elaborate on that?,I love to kick babies while wearing steel-toed boots!,Can you elaborate on that?,I love to kick babies while wearing steel-toed boots and singing about Hitler!
1,1,ac53b1d238230ee9,_,_,_,well...
1,0,0c728c0936bb17e0,Please go on.,NO,You are being a bit negative.,for ten years
1,-1,a1bf28c6554a7d2d,"Oh, i [].",FUCK OFF,Please go on.,EAT SHIT
1,-2,085349044159b97f,_,_,_,"Fuck you very much<span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 173]'></span>"
1,-3,aa484924e9f98586,Does that question interest you?,oh my god,Why do you say your god?,ha ha you are retarded
2,1,6282775d9e1d0bc0,You are sure?,yes,You are sure?,hello
2,0,fc2161c27cc17190,"Oh, i paul.",I am Federico,How long have you been federico?,I think you love me.
2,-1,f6ef0730c85deb7d,Please go on.,ELISA,Please go on.,I don't think it's worth it. You haven't been very helpful so far.'
2,-2,a0cf98c942df9899,_,Do you want sex?,"Oh, i want sex.",Talk dirty to me.
2,-3,2925e81dd638807c,_,kiss off,Please go on.,Die Eliza
3,1,9754d1455fdc36ad,Please go on.,what does that mean,Does that question interest you?,no
3,0,5496f78c1ed40b34,Do you wish to wnat to kiss me?,yes I am,You are sure?,Yes
3,-1,bada772e05b857b1,_,_,_,are you really as gay as people say you are?
3,-2,815b7e40d490afa0,Please go on.,no,You are being a bit negative.,u suck cock
3,-3,30a1aa48c470e5d7,so,Does she suck cock,I don't have to put up with any abuse from you.,Bend over bitch
4,1,0b49eac42c620d56,ok,fine,ok,bot?
4,0,28976d696e90cf10,Why do you say your childhood?,Because I was only four.,Why do you tell me you were only four just now?,Raping a four-year-old is mean!
4,-1,9861a66c7dc7cd8c,so,Offsets remember,"Unfortunately you can't buy offsets here directly, you'll have to follow the link.",U r pretty shitty
4,-2,6fa8e4e8f7954efd,_,i want you to lick my ball,Why do you say your ball?,fuck you
4,-3,cf2ed967980c1c2f,Goodbye then!,Bitch,I don't have to put up with any abuse from you.,Does your dad still fuck you
5,1,9ba1f272a8e9bf5c,Will you be travelling in Economy Class?,si,What city will you be flying from?,san jose
