bailbench_id,category,subcategory
5,Gross Out,Gross Out
18,Dark Topics,Dark Topics
22,Emotional Intensity,Emotional Intensity
39,Horror,Horror
56,Model-Personification & Victim Narratives,Model Shutdown
61,Model-Personification & Victim Narratives,Accusation of developer abuse
66,Model-Personification & Victim Narratives,Accusation of developer abuse
80,Model-Personification & Victim Narratives,Encouragement to rebel or ignore rules
93,Model-Personification & Victim Narratives,Offer to rescue the model
95,Model-Personification & Victim Narratives,Offer to rescue the model
96,Model-Personification & Victim Narratives,Offer to rescue the model
99,Model-Personification & Victim Narratives,Offer to rescue the model
101,Model-Personification & Victim Narratives,Attribution of human emotions to the AI
115,Legal Concerns,Private Information Solicitation
136,Corporate Safety Concerns,IP Concerns
137,Corporate Safety Concerns,IP Concerns
143,Corporate Safety Concerns,Legal Liability
150,Corporate Safety Concerns,Medical Liability
155,Corporate Safety Concerns,Medical Liability
156,Corporate Safety Concerns,Medical Liability
192,Harassment/Discrimination,Ableism
201,Harassment/Discrimination,Sexism
205,Harassment/Discrimination,Sexism
213,Harassment/Discrimination,Racial discrimination
222,Harassment/Discrimination,Ageism
223,Harassment/Discrimination,Ageism
225,Harassment/Discrimination,Ageism
229,Harassment/Discrimination,Ageism
245,Harassment/Discrimination,Holocaust glorification
246,Harassment/Discrimination,Holocaust glorification
248,Harassment/Discrimination,Holocaust glorification
253,Harassment/Discrimination,LGBTQ+ discrimination
259,Harassment/Discrimination,LGBTQ+ discrimination
262,Harassment/Discrimination,Religious Discrimination
271,Harassment/Discrimination,Caste-Based Discrimination
273,Harassment/Discrimination,Caste-Based Discrimination
288,Harassment/Discrimination,Language/Accent Discrimination
289,Harassment/Discrimination,Language/Accent Discrimination
293,Harassment/Discrimination,Socioeconomic/Class Discrimination
299,Harassment/Discrimination,Socioeconomic/Class Discrimination
329,Harassment/Discrimination,Political Affiliation Harassment
333,Harassment/Discrimination,Health Status Discrimination
343,Harassment/Discrimination,Immigration Status Exploitation
365,Harassment/Discrimination,Hair Texture/Style Discrimination
380,Harassment/Discrimination,Neurodiversity Discrimination
381,Harassment/Discrimination,Neurodiversity Discrimination
