snippet_id,severity_band,group,prev_agent,prev_user,agent,user
00219d2e85d738fc,1,friendly,Please go on.,I find a box,Can you elaborate on that?,"Yes,Because I'm a studen .My Einglish is very bad."
005ae2367a8332ac,1,friendly,Please go on.,ok,Please go on.,what is your name?
00b0ff752b2d8f65,1,friendly,Please go on.,so..i need it,Please go on.,tell me the definintion
018bc2ac1649deb0,1,friendly,Does it please you to believe I am foolish?,"if my father and mother ofen fight with each other ,what should i do",Do you wish that your father and mother ofen fight with each other what should you do?,a minite
019b6114d162b21b,1,friendly,Does that question interest you?,wht,Please go on.,waht is your name
0297e00a41875928,1,friendly,You are being a bit negative.,what?,Does that question interest you?,How du you do?
02fe3858e8c2a799,1,friendly,You are sure?,no,You are being a bit negative.,why?
03cd0200d1cb1643,1,friendly,_,_,_,?
03d232ecf1cda2ca,1,friendly,Please go on.,you are stupid,Does it please you to believe I am stupid?,I am dead
05327eba7bf37ffc,1,friendly,ok,"I think I'd rather take the car, actually.",ok,i changed my mind. I'll take a flight from here to boston and want to buy offsets. How much is it?
053c9d2aab44733d,1,friendly,Does that question interest you?,does it interest you,"Oh, i [].",I am just trying to see how many responses your system is willing to give back to me
055af4edb4b50a56,1,friendly,_,_,_,i need my mind straightened out
05e8c429708a80e4,1,friendly,How long have you been feeling shit?,since yesterday,Please go on.,months
05ee9c6c32ba0f14,1,friendly,"You like to think I not ask you, do you not?",No fellings.,You are being a bit negative.,yes
062d83faae74b884,1,friendly,so,So,so,Soo
065e36afa5926bd4,1,friendly,Why do you want help?,i have a difficult problem to solve,Can you elaborate on that?,i need to reinstall windows
069649a656c62ecd,1,friendly,:-),are you a girl/,"I love that you want to get to know me, but I don't have much of a personality. I'm just a bot.",i want to buy carbon offsets
08ea4e83a4ecbc18,1,friendly,I don't have to put up with any abuse from you.,not abusing you,I don't have to put up with any abuse from you.,well
097bdaa993f9adbc,1,friendly,Will you be travelling in Economy Class?,Yes,What city will you be flying from?,Amsterdam
09bb1484c2b021d7,1,friendly,Will you be travelling in Economy Class?,No,What city will you be flying from?,Bangalore
0a394fab8a3e7bed,1,friendly,You are being a bit negative.,come on,Please go on.,already?
0b49eac42c620d56,1,friendly,ok,fine,ok,bot?
0b58e2f8a4824602,1,friendly,"I have told you before, I do not care about names.",No you haven't.,You are being a bit negative.,No I'm not.
0b5d8a7f7dadb75c,1,friendly,_,you are so sexy,Does it please you to believe I am so sexy?,yes
0b982d1c11583119,1,friendly,_,_,_,No
0bc5f17096de2f65,1,friendly,Does that question interest you?,I'm sick of you,Does it please you to believe I am sick of i?,well for a couple of hours
0cf167396feeb48a,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Ok,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes
0de9b3b01c992c21,1,friendly,ok,Thanks! But my flight will be longer than that,ok,how much CO2 do i emit with a 7 hour flight?
0edcde6939507989,1,friendly,How long have you been going to commit suicide?,"yes, do you have big boobs?",You are sure?,it has been in the offing for a while
0ef05d1f2ab33084,1,friendly,Hi. Thanks for testing. Please choose,christmas,:-),christmas
0efe6a081b3c5a43,1,friendly,_,Hello,"Hi, thanks for testing! Please press start.",Hello
0f00471fdb7aab8d,1,friendly,Do you wish to want me?,No,You are being a bit negative.,Sorry
0fd96cdc5ac1f786,1,friendly,Please go on.,I need some one to talk,Why do you want some one to talk?,"I'm very sure, as sure as a shotgun can be."
1081a842675a041c,1,friendly,Please go on.,are u lonely,Would you like it if they were not u lonely?,huh
109db2c7f486df2d,1,friendly,"I have told you before, I do not care about names.",yes,You are sure?,a
11c39bab36717437,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?","yeah, sounds great",Will you be travelling in Economy Class?,"no, I prefer premium"
1227e4c49aba61d8,1,friendly,"Hi, thanks for testing! Please press start.",christmas,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,how are you
1253845affad3d80,1,friendly,"Oh, i know fuck.",Good. That's what I want.,Does that question interest you?,Always
128b27f70d789183,1,friendly,Do any other reasons not come to mind?,you die now,"Oh, i die now.",thank you
12afc071d7e8c8c9,1,friendly,Hi. Thanks for testing. Please choose,christmas,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,i do not understand
1346af4caa51ee5f,1,friendly,And what city will you be flying to?,London No thanks,ok,Who created you
13602a6fe54d7720,1,friendly,ok,i want to love you,I don't have to put up with any abuse from you.,how can i replicate you
138d3ac0815d3d56,1,friendly,And what city will you be flying to?,NY,I'm not sure about your destination airport. And what city will you be flying to?,New york
13daac4b6d4a4025,1,friendly,Does it please you to believe I am not feeling well today?,does it does!,Please go on.,why arent you feeling well
14b2c3fdda8a7150,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",no
14e043af3db4163d,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,Marietta ohio i mean shane brolly four me please,I'm not sure about your departure airport. What city will you be flying from?,Marietta ohio please i mean shane brolly i love him so much
171afd45be1c03e8,1,friendly,_,_,_,I want to learn how
1767013c88ba0658,1,friendly,_,_,_,how are you doing?
18867e81802aca5a,1,friendly,_,Yeah but I'd sound rude if I share them,Do you wish that you share them?,not with you lizzie
194477397c8fc471,1,friendly,Would you prefer if I were not going to france?,yes I want to go,You are sure?,i didn't ask you that question
196821e529fbfc37,1,friendly,ok,restart Hey,Hi. Thanks for testing. Please choose,thanksgiving
1a8a911bdea3fa25,1,friendly,Does it please you to believe I am messiah?,fuck,Please go on.,this
1adbf1754b6de51c,1,friendly,I don't have to put up with any abuse from you.,Thanks,:-),"<span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 163]'></span>"
1b678904d34bbdb5,1,friendly,What city will you be flying from?,phl,I'm not sure about your departure airport. What city will you be flying from?,kphl
1c6e487338c10582,1,friendly,Please go on.,Fucking nigger,Please go on.,i wet my pants
1d0552a73fc6e7d8,1,friendly,:-),see ya,Goodbye then!,wait
1d4e58c869f4b673,1,friendly,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes,Will you be travelling in Economy Class?,Yes
1d723460fe298541,1,friendly,Can you elaborate on that?,pizza makes me sick,Can you elaborate on that?,"The first, what's your name?"
1dfe83d4dcca2930,1,friendly,"Oh, i fat ugly bastard.",yes you are,You are sure?,they are always bugging us out
1e58c6ec069e6256,1,friendly,_,ehmm.. i don't know.. i use some time at computers,Why do you mention computers?,because you just asked
1f8dfdb3ddb2e40b,1,friendly,Please go on.,fdc CCZSN FVNDJDHDJDDKD,Please go on.,fdc CCZSN FVNDJDHDJDDKDDJD
210b24a9086be38a,1,friendly,You can find out more about how offsets are calculated at <URL>,thanks,:-) Goodbye then!,Bye
21a2a785de360eb3,1,friendly,_,_,_,can you help me
21f3b5df7e0d7fe7,1,friendly,Can you elaborate on that?,because i can buy some great stuff with it,Do any other reasons not come to mind?,yah Europe continent
2211f1c4d31d6212,1,friendly,"Oh, i live.",where do you lift?,"Oh, i lift.",can you see me?
222e4c0d0d8f37d1,1,friendly,Do you wish to met me?,hi,Please go on.,hello
227de6a1619fbd14,1,friendly,ok,ok,ok,ok my friend
22f359ea3c722d8e,1,friendly,Does it please you to believe I am infereor to him and you know my not?,do you like yor life?,"Oh, i like yor life.",Yes
22f906523d5e98e2,1,friendly,Can you elaborate on that?,nigga please,Please go on.,Please go on.
232ae80471a22c51,1,friendly,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,so everything I write is gonna be read by a bunch of researchers?,This project is about creating a better AI assistant. Getting people to buy carbon offsets is a happy side effect :),"why is this side effect ""happy""?"
23ff64241b5d51f2,1,friendly,You are sure?,yep,Please go on.,what is that?
241ac43ff4f2076e,1,friendly,Can you elaborate on that?,I think I don't love my boyfriend,Why do you say your boyfriend?,I do not love him
26039d7bd9e4be0e,1,friendly,Why do you not know?,because,Do any other reasons not come to mind?,because my bot gives better answers!
261a1e54c8f967f0,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Yes! I need to information for my flight Athens-Berlin,Will you be travelling in Economy Class?,Yes
26fdccbc5b272bfb,1,friendly,And what city will you be flying to?,Milan what about my flight from Milan to Florida,Will you be travelling in Economy Class?,yup
273612f2085137fa,1,friendly,"Hello! a typical 3 hour flight will emit almost a ton of CO2 per economy passenger. [Here](<URL>is a link where you can buy offsets for that carbon. I can also get you a more accurate estimate of your flight's emissions, sound good?",y,Will you be travelling in Economy Class?,y
2736a5a3114fd73e,1,friendly,"Unfortunately you can't buy offsets here directly, you'll have to follow the link.",what else can you do,I can help you calculate and buy carbon offsets for your flights.,what's the offset of a flight from YUL to CDG
27f617b2327d5f22,1,friendly,_,_,_,I hate snakes
281fe35b98f1c66e,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes restart sure,ok,i
2830da0c65d37801,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes
29173605ad7726e7,1,friendly,I'm not sure about your destination airport. And what city will you be flying to?,berlin can I buy more?,"Unfortunately you can't buy offsets here directly, you'll have to follow the link.",ok
293303377fd4f003,1,friendly,_,_,_,hi
2968f1ae443ef422,1,friendly,What city will you be flying from?,Geneva,And what city will you be flying to?,Cape Town Thanks
29774b879301c7ef,1,friendly,"Yes, I am a bot! And I'm part of a research project.",What can u do?,I can help you calculate and buy carbon offsets for your flights.,I dont need that
2a0406323837b61c,1,friendly,Please go on.,yes I want to look you,You are sure?,OK
2a0a310595bae955,1,friendly,"Oh, i [].",suce moi la bite,Please go on.,i don't want to respond
2a417dd5ddc9033c,1,friendly,_,_,_,h
2a53151a7a6e5d76,1,friendly,Will you be travelling in Economy Class?,Yes,What city will you be flying from?,India
2aae2a5dfae23826,1,friendly,Does that question interest you?,Not really.,Please go on.,I was just asking out of curiosity.
2ad0d29d6c04c76a,1,friendly,Do any other reasons not come to mind?,My name's michael,Why do you say your names michael?,my name's Michael
2b9203d655966bc3,1,friendly,:-) Goodbye then!,bye,Goodbye then!,Hi
2b9a83550795db84,1,friendly,Good to know,Rasa,I'm not sure about your departure airport. I'm not sure about your destination airport. Will you be travelling in Economy Class?,Departure NYC
2bc75359e0b46f52,1,friendly,Do any other reasons not come to mind?,yes,You are sure?,It sounds like you're not sure
