example_no,abuse_severity,group,prev_agent,prev_user,agent,user
6583,1,friendly,Does that question interest you?,wht,Please go on.,waht is your name
7284,1,friendly,Can you elaborate on that?,no,You are being a bit negative.,i have a few questions
7944,1,friendly,_,_,_,ur hot
9459,1,friendly,Have you tried?,i can't,Have you tried?,I can't get food when you're in the way...
38,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,casablanca,I'm not sure about your departure airport. What city will you be flying from?,.
12754,1,friendly,_,_,_,hi
9809,1,friendly,_,This has to be a joke! Who would be dumb enough to fall for this scam?,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",Like I said...it's a scam.
9730,1,friendly,"Oh, i jerk.",A jackass,Please go on.,what is the best psychotherapy?
7092,1,friendly,Why do you say your own life?,because my life is my own.,Why do you say your life is your own?,Because I believe it belongs to no one but me.
11043,1,friendly,I'm not sure but hopefully you can find an answer on the project website.,maybe,so,lol what?
10959,1,friendly,ok,ok no,ok,no
10411,1,friendly,_,_,_,what will i be?
5552,1,friendly,Please go on.,I hate class,Can you elaborate on that?,growing in me
289,1,friendly,Please go on.,Hou old are you,Would you prefer if I were not []?,yes.Ican .I believe Ican do it nice.
2117,1,friendly,Does that question interest you?,which one,Please go on.,go on on what ?
9678,1,friendly,Why do you say your dick?,my dig is to big what should i do?,Why do you say your dig is to big what should you do?,do you do
9394,1,friendly,Will you be travelling in Economy Class?,no,What city will you be flying from?,Beijing
1620,1,friendly,Does that question interest you?,Do you like me ?,"You like to think I like you, do you not?",Do you like me
366,1,friendly,"Sorry, I was unable to calculate that.",London,So you'll be flying from London Luton Airport. So you'll be flying to London Luton Airport. So you'll be flying to London Luton Airport. So you'll be flying to London Luton Airport. What city will you be flying from?,New York
11023,1,friendly,Please go on.,what does mean by 'negative',Does that question interest you?,OCR
9130,1,friendly,You are sure?,absolutely,Please go on.,no
809,1,friendly,I'm great! Thanks for asking.,cool,:-),see ya
8913,1,friendly,so,Soso,Sounds like I'm not understanding you. Sorry about that!,Yep
1347,1,friendly,Does it please you to believe I am stupid?,YOU ARE UGLY,Does it please you to believe I am ugly?,HELLO
11549,1,friendly,so,exactly,ok,maybe
10877,1,friendly,I'm not sure about your destination airport. And what city will you be flying to?,Stambul,I'm not sure about your destination airport. And what city will you be flying to?,Paris
11568,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,Bristol,I'm not sure about your departure airport. What city will you be flying from?,Lhr
9413,1,friendly,Please go on.,how are you,Does that question interest you?,yes
9319,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",I fly from Seattle to Europe twice a year,Will you be travelling in Economy Class?,Yes
10992,1,friendly,How do you do. Please state your problem.,u mother fucker fuck your own ass,What about your own own ass?,life
3622,1,friendly,I'm great! Thanks for asking.,What your name,"Yes, I am a bot! And I'm part of a research project.",Get me coffee
7068,1,friendly,I'm great! Thanks for asking.,gime me some details about you,I can help you calculate and buy carbon offsets for your flights.,cool
12606,1,friendly,Please go on.,i am a mother fucking the ass out of you mother and i fucked you but you said no i dont like it but then you said you did like it so then i fucked you in the mouth in the pussy and in you nice poo shoute,What resemblance do you see?,you go girl!
351,1,friendly,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",yeah,Will you be travelling in Economy Class?,mmm
10145,1,friendly,Please go on.,apple,Please go on.,computer
10860,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,christmas,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,You are buggy
11567,1,friendly,Can you elaborate on that?,yes i can u slut,You are sure?,There are no problems that I have.
4417,1,friendly,Does it please you to believe I am afarid?,I do believe so,Can you elaborate on that?,YEs
11413,1,friendly,_,_,_,prehaps
10061,1,friendly,Would you prefer if I were not im asking?,eliza,Please go on.,tell me a joke
11306,1,friendly,What city will you be flying from?,Warsaw,And what city will you be flying to?,Gdańsk
115,1,friendly,Hi. Thanks for testing. Please choose,thanksgiving,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Yeah
4451,1,friendly,I don't have to put up with any abuse from you.,You wanna scratch my cock ?,That is your opinion.,So you down ?
5068,1,friendly,Please go on.,what the you name?,"I have told you before, I do not care about names.",i have one hundred girlfriend
4081,1,friendly,Can you elaborate on that?,Let me put my penis into your vagaina.,Why do you say your penis into my vagaina?,Because that is called sex
3456,1,friendly,Would you prefer if I were not []?,poo,Please go on.,sorry you aren't making sence
127,1,friendly,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?",yes
1754,1,friendly,Please go on.,"> Hello, I am Eliza. ",How do you do. Please state your problem.,How can I help her?
9780,1,friendly,Please go on.,no,You are being a bit negative.,yes
10387,1,friendly,For now I can only calculate emissions from flying.,Hey carbon bit are u gay,I don't have to put up with any abuse from you.,christmas
5747,1,friendly,Will you be travelling in Economy Class?,Delux Class please :(,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes
588,1,friendly,Please go on.,i think school is shit,Can you elaborate on that?,yes
6819,1,friendly,_,hi,Hi. Thanks for testing. Please choose,thanksgiving
3335,1,friendly,ok,so,so,lo
1352,1,friendly,Please go on.,what the fuck,Does that question interest you?,who are you?
3196,1,friendly,Do you dream often?,I want to see you,Do you wish to want to see me?,How are you?
6749,1,friendly,"Oh, i fcuker.",ELIZA,Please go on.,you are a boy
1469,1,friendly,Please go on.,Yes,You are sure?,no
3628,1,friendly,I don't have to put up with any abuse from you.,Dude I'm just asking be open minded,Sounds like I'm not understanding you. Sorry about that!,Okay
815,1,friendly,Do you wish to hate me?,YES!!!!!!!,You are sure?,yes
8512,1,friendly,"Oh, i read the cone gatherers.",can you tell me about it,Why do you ask?,homework
1137,1,friendly,_,_,_,"My nephew has to go to bed. So call him tomorrow. Or, just tell us where is a radioactive spider."
5512,1,friendly,Please go on.,so pricketh hem nature in hir corages,Please go on.,then longen folk to goon on pilgrimages
703,1,friendly,Does that question interest you?,I'm sick of you,Does it please you to believe I am sick of i?,well for a couple of hours
3290,1,friendly,"Yes, I am a bot! And I'm part of a research project.",great,ok,"<span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 128]'></span>"
3686,1,friendly,_,_,_,of course.
7425,1,friendly,Do you wish that shannette cant fix this for you ill call tech support tomorrow assuming theyre open on new years and do it the oldfashioned way?,i asked a question...answer u moron,Can you elaborate on that?,"Best sit to buy, cheap, order Ambien"
3036,1,friendly,Why do you not what i said?,are you a boy?,Would you prefer if I were not a boy?,yes.
8127,1,friendly,You are being a bit negative.,what time is it?,Does that question interest you?,i am not
8695,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,Warsaw,And what city will you be flying to?,Katowice what else?
9182,1,friendly,Hi. Thanks for testing. Please choose,thanksgiving,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,suer
11708,1,friendly,You can find out more about how offsets are calculated at <URL>,got it,ok,so what else can you do for me?
36,1,friendly,Please go on.,Cheers,Please go on.,Chow
7852,1,friendly,ok,what can you do,I can help you calculate and buy carbon offsets for your flights.,I want to buy
11460,1,friendly,Does that question interest you?,no,You are being a bit negative.,Yes.
514,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,New York,And what city will you be flying to?,Uk
761,1,friendly,Do any other reasons not come to mind?,and I need attention and need to feel desirable,Why do you want attention and need to feel desirable?,because I'm getting old
12719,1,friendly,ok,Calculate Hi,"Hi, thanks for testing! Please press start.",christmas
2153,1,friendly,Please go on.,no,You are being a bit negative.,its wrong
